period,tsin_id,sku,product_title,average_selling_price,success_fee,fulfilment_fee,total_claim_value,opening_balance,shipment_received,returns_received_into_goodstock,lost_in_transit_returns_found,other_inflow,total_inflow,shipped_to_customer,removal_orders_collected,removal_orders_disposed,other_outflow,total_outflow,closing_balance,stock_in_transit,removal_orders_awaiting_collection_or_being_processed,return_removal_orders_collected,returns_removal_order_disposed
"The recon month in the format YYYYMM.","Takealot's unique product identifier.","Stock Keeping Unit - your internal product identifier.","The product title as shown on the product display page.","An average of your selling price for the last 3 months.","The success fee covers the referral fee, transactional costs, customer support, and platform support.","The fulfilment fee for the product based on the fulfilment fee rate and product dimensions/weight.","The amount you need to include on your invoice to Takealot to claim for lost stock.","Total qty in all of Takealot's warehouses at the beginning of the period.","Qty received via shipments or is in the process of being received at a Takealot warehouse.","Qty received via returned stock that has been evaluated and put back into buyable stock.","Qty received back into the Takealot warehouses that were previously thought to be Lost in Transit.","Other increases in the period (e.g. stock found).","Total increase to the qty in Takealot's warehouses during the period.","Qty shipped to customers in the period.","Qty collected by you in the period for good stock removal orders.","Qty prepared for you for good stock removal orders that has been disposed in the period.","Other decreases in the period (e.g. stock lost).","Total decrease to the qty in Takealot's warehouses during the period.","Total qty in all of Takealot's warehouses at the end of the period.","Total qty in transit between Takealot warehouses.","Qty requested and prepared for removal orders submitted or awaiting collection by you.","Qty collected by you in the period for bad stock removal orders","Qty prepared for bad stock removal orders that has been disposed in the period."
202407,43920567,C89M169,"HP Laptop Charger",253.71,29.18,48.3,176.23,11,10,3,0,1,14,15,0,0,1,16,9,0,0,0,0
202407,43920571,c40-m110-1-,"Display Port to HDMI - Black",109.17,8.79,48.3,52.08,2,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0
202407,44869805,C50M120,"Mop Broom & Sports Equipment Organizer Wall Mount",159.21,27.46,48.3,83.45,5,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0
